model,original_file,bpmn2:participant,bpmn2:messageFlow,bpmn2:startEvent,bpmn2:choreographyTask,bpmn2:sequenceFlow,bpmn2:endEvent,ns0:participant,ns0:messageFlow,ns0:startEvent,ns0:choreographyTask,ns0:endEvent,ns0:sequenceFlow,ns0:textAnnotation,ns0:association,ns0:intermediateCatchEvent,ns0:group,bpmn2:exclusiveGateway__unspecified,bpmn2:parallelGateway__unspecified,ns0:exclusiveGateway__Diverging,ns0:eventBasedGateway__Diverging,ns0:exclusiveGateway__Converging,ns0:parallelGateway__Diverging,ns0:parallelGateway__Converging
sid_5e1f691c_1a98_4d03_b0f8_e39708e069c9,fe798eb02aa94c8e9487b246a2a97a25.bpmn,0,0,0,0,0,0,26,13,1,13,1,19,0,0,0,0,0,0,2,0,0,0,0
sid_5fb9da82_3146_471f_b362_d007b1eeba22,f8239b827d9a4e989e6cc4601df60508.bpmn,0,0,0,0,0,0,16,10,1,8,1,12,0,0,0,0,0,0,1,0,1,0,0
sid_628f8db4_6e66_4dbc_bf51_0a06087845fd,1ad939eef40c461dafae27f75a0586d3.bpmn,0,0,0,0,0,0,8,5,1,4,1,8,0,0,0,0,0,0,0,1,1,0,0
sid_62c28843_b184_41e1_a25f_91408775a5b3,5dd78b7c56554698b42816141091b0f7.bpmn,0,0,0,0,0,0,30,16,1,15,1,23,0,0,0,0,0,0,2,0,2,0,0
sid_640bbb71_018f_49b9_b1bf_87ab98bd4f71,4b73abe096734c9893dff2531d048cbb.bpmn,0,0,0,0,0,0,24,12,1,12,1,13,0,0,0,0,0,0,0,0,0,0,0
sid_6464baf1_e9c8_4917_8881_c3036e949acd,1bec56f705414197923d887796abba10.bpmn,0,0,0,0,0,0,6,3,1,3,1,4,0,0,0,0,0,0,0,0,0,0,0
sid_64d48248_beb0_44b7_b11c_2ebbbb39c1ce,2ca635b5d7b74f8aa52d58950eb20fb1.bpmn,0,0,0,0,0,0,4,2,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0
sid_66a09203_676f_496c_8fec_69bcd288b82f,3b697ccbd0074f6cb593577b365a082c.bpmn,0,0,0,0,0,0,15,6,1,6,1,12,0,0,0,0,0,0,1,0,0,1,1
sid_674da579_dcef_4775_b703_35d246b67bce,01fae806760b424bbb183a734ff22f60.bpmn,0,0,0,0,0,0,6,6,1,3,1,4,0,0,0,0,0,0,0,0,0,0,0
sid_6786d958_8dc5_4a92_997d_dd34c15b6e3f,2ce9c5a3d4f149bebd3c68c0adb1845d.bpmn,0,0,0,0,0,0,10,6,1,5,1,9,0,0,0,0,0,0,1,0,1,0,0
sid_688a7c40_4690_4e91_bd88_bc9d336dfaed,1eacce05c4f948d9a0c0c2b46e94e2ec.bpmn,0,0,0,0,0,0,16,10,1,8,1,11,0,0,0,0,0,0,1,0,0,0,0
sid_68c08511_18b3_4ed8_8fb3_627b38a129d8,6cd597703254420083297b11d825e8bb.bpmn,0,0,0,0,0,0,8,8,1,4,1,7,0,0,0,0,0,0,1,0,0,0,0
sid_690c0598_bdb0_4f87_8de2_12b2e7c0eae0,5d096bada838458dbfe02528bd852398.bpmn,0,0,0,0,0,0,2,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0
sid_6aff5cab_5e98_4188_a1ac_32801e4463a1,1af04f24101f40f7ae51b7195ffb6882.bpmn,0,0,0,0,0,0,14,8,1,7,1,12,0,0,0,0,0,0,0,2,0,0,0
sid_6b323bd8_bd02_4a8e_ac47_3f51858d5806,5fd1eb21a30145d3afc702b148ec3c29.bpmn,0,0,0,0,0,0,6,3,1,3,1,4,0,0,0,0,0,0,0,0,0,0,0
